S_CTUID,NAABORI100,NAOTHER100,BRTISLE100,FRNH100,WESTEUR100,NORTEUR100,EASTEUR100,SOUTEUR100,CARIB100,LCSA100,CWAFRI100,NORTAFR100,SEAFR100,WAME100,SOUTASI100,SEASIA100,OCEANIC100
5350060,1455,15636,35455,7455,11636,1273,20182,13273,2545,2909,545,1091,1091,3636,10182,22727,0
5350061,0,19595,31081,9459,11486,3378,10135,16216,5405,6757,0,0,3378,2027,2703,29730,0
5350062.01,998,11797,25136,6443,8439,2087,14701,8984,1724,4356,454,2722,907,7260,9982,29401,272
5350062.02,717,9161,17274,3642,6347,773,9879,8002,1932,2373,993,1876,1435,8664,8554,43212,166
5350063.03,2918,13682,29879,7948,10865,1710,14990,13883,2616,4225,402,1408,905,9256,9457,21127,302
5350063.04,3247,18182,41071,8442,14123,3734,15422,13961,2760,3571,1461,1948,2597,4870,6006,14610,325
5350063.05,1126,11374,27477,7320,10023,1577,15090,11937,1239,4279,788,788,676,7320,8671,27928,450
5350063.06,2130,17715,36980,12004,13746,3098,14811,11520,2711,4066,194,387,678,2614,9777,16651,194
5350064,2311,16423,36375,10097,13382,2311,13869,10097,3163,3406,243,973,2311,6083,9124,15693,0
5350065.01,823,12963,20782,5967,8230,1440,9671,8848,6379,5967,1852,823,1235,4115,16872,25720,412
5350065.02,1270,8421,11553,2835,3682,592,4232,5586,3639,3259,889,889,9776,5544,25518,28650,85
5350066,3240,17423,41613,9503,14039,2376,11735,12167,4680,3744,576,792,1224,2880,5832,18790,216
5350067,1780,21662,60237,12463,24332,4154,21958,10682,2077,2671,0,0,593,1484,2671,7122,0
5350068,2542,21398,55508,12288,19068,3178,15254,10593,1483,2542,0,1059,424,847,3178,12076,636
5350069,1629,19857,44705,7841,15988,2240,14766,11303,3768,2444,509,0,815,2037,4786,23931,611
5350070,1794,21076,55456,9865,18087,4185,17937,16143,2691,1943,0,747,299,2093,4036,10912,299
5350071,2485,23246,54971,11111,15643,3655,15351,19152,3363,3363,0,1023,439,2924,3655,8918,1462
5350072.01,4703,20045,33483,7727,9742,3471,8847,15677,7279,2800,896,1120,6831,5263,4031,18029,336
5350072.02,4193,25000,45186,12267,14441,4658,11646,11180,4658,1708,932,466,1242,1242,10714,14441,311
5350073,4389,20802,34733,9160,11641,1527,10878,8397,4008,2290,0,0,1145,1527,4008,38359,0
5350074,3312,24841,36815,8280,12102,2930,8662,10955,4968,2293,1146,637,1274,1274,8662,25605,892
5350075,1506,19322,41531,8030,12296,1255,9787,18319,4266,3513,502,251,1631,2760,6775,22334,251
5350076,2597,25649,45346,9416,13528,2056,12229,10281,6169,2489,1623,325,2056,2381,7143,18939,758
5350077,3725,27765,53950,11738,16140,4289,11851,10384,3725,2483,451,790,564,1467,5530,11964,564
5350078,3466,21302,55030,12003,14877,3888,13609,14032,3973,2705,338,761,2029,3466,3550,10482,423
5350079,2379,23793,61372,9377,17565,3639,12036,15185,4269,3079,0,350,1190,2169,4269,11057,770
5350080.01,2827,26637,53423,10863,12351,2976,12649,16815,4018,3571,0,298,298,2381,3571,13690,298
5350080.02,3047,15452,22742,6855,5985,1850,4461,8487,6202,3156,218,1197,3264,6746,24483,18934,0
5350081,2982,22456,44211,11404,15088,2456,11404,25088,2281,1053,1053,0,1228,3509,3333,14912,702
5350082,2555,20620,42883,8577,12956,4197,12226,29380,3467,2007,547,547,912,2190,5292,11679,1277
5350083,2618,22070,41646,6858,10224,1746,12344,21446,2618,2120,249,623,499,2743,12968,12843,873
5350084,1637,17872,54025,7503,17735,6958,13643,21146,1364,2319,409,0,1501,1364,3274,12142,409
5350085,2136,21985,51633,12437,16583,3769,14950,16834,2889,2136,251,628,1005,1884,3894,11307,0
5350086,1796,28343,62675,10379,11776,3593,12575,9381,599,1796,0,599,1198,3393,3593,7385,0
5350087,1062,20174,57529,8687,16602,4730,17471,11680,2124,1834,0,193,1255,2124,2317,7819,579
5350088,316,10601,25633,6962,9177,2848,17405,15506,1582,3481,0,2690,3323,8386,5380,22785,0
5350089,546,10778,30559,6412,10232,2046,24147,13506,1637,2183,0,1910,819,9277,4093,16098,273
5350090,1019,16815,44841,10701,14140,3822,19745,15287,1529,1911,637,1146,637,6752,5223,10701,510
5350091.01,1452,17619,39593,7357,15973,3098,20716,12585,2033,2323,387,968,1162,5034,4937,16554,387
5350091.02,1862,20630,41404,10029,13610,3009,16189,16762,4298,2149,573,1289,4011,6017,3009,9456,430
5350092,2219,21045,45598,10451,18039,3579,21260,13314,2505,3651,429,573,1432,3651,5440,14173,644
5350093,2220,20352,40148,10268,15171,4163,18871,23682,3700,2960,370,370,1388,1665,4163,14061,555
5350094,1760,15528,34369,7453,11491,3727,11077,35818,3830,3830,518,0,414,2588,2692,17391,414
5350095,2044,16667,32704,8176,13050,2358,12736,30660,2201,4560,786,314,786,2358,3774,14465,943
5350096.01,2071,20118,32249,5917,10355,3254,13609,32840,3550,4438,888,0,0,1183,3846,16272,0
5350096.02,1979,12938,29224,5327,10198,2588,11263,36986,3349,6240,0,0,304,2588,7154,14916,457
5350097.01,2008,11669,25220,4768,7026,1757,7403,24216,3890,3513,251,251,1882,4015,15809,20452,251
5350097.03,3689,15164,22951,8197,11475,1230,7787,19672,9016,4098,2459,0,4918,1230,9426,18852,0
5350097.04,1272,14169,23706,4723,8356,1998,9991,35241,3996,8265,272,363,817,2452,6721,14169,636
5350098,1339,13953,29951,6906,9443,1480,10994,27766,5779,7329,1057,846,4017,2889,7118,13037,211
5350099,2517,17086,35774,8619,13425,2517,20748,15332,2670,4577,305,992,992,5034,8238,14569,305
5350100,2190,19891,46350,9489,19161,3467,18796,22445,3102,3102,1642,365,1460,2190,3285,13686,365
5350101,4328,24266,50077,13138,17465,4173,18238,20866,1236,5255,464,309,464,1082,2318,9892,1082
5350102.02,2320,12297,32019,7889,14501,2552,27842,14617,3596,5104,696,812,3132,4640,3596,6497,0
5350102.03,1622,12973,29054,7162,11081,2297,27297,21486,1351,5270,270,405,811,7432,2162,6892,0
5350102.04,3252,24390,42276,15447,17073,4065,17886,14634,4065,2439,2439,0,3252,5691,5691,8943,0
5350102.05,1205,26506,41566,4819,13855,3614,22289,16867,1205,7831,4217,0,0,1205,3614,13253,1205
5350103,1720,19433,46088,9802,18401,2494,26655,18745,1548,2064,172,258,172,2236,3697,8426,774
5350104,1863,21739,51996,9583,17391,2573,24224,17391,1686,2307,177,799,887,1686,3549,9406,710
5350105,3010,19287,45819,10368,17280,3344,19621,23411,2341,3679,0,223,446,3233,2787,10925,0
5350106,1105,6077,11740,2210,3867,829,7182,26934,4696,9530,691,0,1934,1934,6768,35912,0
5350107,1770,9243,12783,3048,4130,197,4720,50836,7178,9046,590,393,197,2950,3343,13176,0
5350108,2163,13478,19800,4326,4493,1414,6489,36356,8070,9734,1664,250,5324,1664,4992,10566,499
5350109,2031,11173,21145,5171,7849,1477,8310,45983,5171,7941,462,646,1570,1385,4063,15143,277
5350110,2186,12295,22814,6557,9699,1776,9699,47131,5601,10109,410,410,546,1639,3962,11066,1093
5350111,2041,10000,15306,4694,4898,1020,6531,64694,3673,10000,0,408,0,1020,1633,5918,0
