S_CTUID,NAABORI100,NAOTHER100,BRTISLE100,FRNH100,WESTEUR100,NORTEUR100,EASTEUR100,SOUTEUR100,CARIB100,LCSA100,CWAFRI100,NORTAFR100,SEAFR100,WAME100,SOUTASI100,SEASIA100,OCEANIC100
5350370.03,1230,13776,15990,3198,4674,1353,2952,11685,7503,2706,738,246,2337,8118,17958,28167,0
5350371,545,15929,19197,4221,5174,953,4221,21579,3744,2178,136,953,1157,11232,13547,22600,0
5350372,783,12528,16331,2349,5928,783,3915,20022,4251,3020,1119,336,1007,7718,17002,25056,224
5350373,1178,12099,17452,3105,5032,321,5032,16381,6424,4925,642,1606,535,10064,15846,23019,214
5350374.01,944,7975,14481,2099,4617,420,6401,12172,4722,1679,315,839,420,11228,12277,39559,315
5350374.02,803,7705,11236,2087,2408,482,2889,18138,5136,2729,0,321,321,4173,11878,47673,0
5350374.03,573,8028,11009,2523,2638,0,2294,8716,6193,3326,1032,1147,0,3555,16514,47477,0
5350375.01,488,6753,8625,1546,1465,651,2441,18552,8950,2522,407,1139,407,14158,10903,33767,163
5350375.02,1711,11247,22494,2445,3912,733,4645,16626,4401,2934,0,0,4645,3423,9780,36675,0
5350375.03,766,8525,12835,2778,1916,862,2011,8238,9579,2874,1245,670,2203,6609,25479,33621,383
5350375.04,186,5214,8845,1304,2048,0,4097,6425,4842,2328,1304,745,1117,6238,17505,49814,0
5350375.05,865,10086,13401,1801,3314,432,3314,12320,5908,2089,360,1513,144,13617,14265,33790,144
5350376.01,300,7792,6494,2198,2198,699,2697,5894,6693,599,2398,500,2198,5095,12288,54146,0
5350376.02,190,5977,4459,569,759,190,1139,4364,6072,854,285,0,759,1898,22486,57780,190
5350376.04,201,5316,7924,1805,2006,401,1103,3410,2808,201,401,5517,2207,9328,11033,58576,0
5350376.05,0,2920,1679,219,584,0,365,4380,584,146,0,146,0,1022,3504,87956,0
5350376.06,0,4000,4000,0,0,0,0,0,0,0,0,0,0,0,0,100000,0
5350376.08,165,5120,7349,991,2725,413,1569,5533,3138,1404,165,991,248,4377,23865,51445,0
5350376.09,0,1152,1466,314,838,0,1047,5969,2408,838,0,524,838,3037,7225,78639,0
5350376.11,731,5263,5848,2047,1462,0,2193,6140,10526,3363,1462,1023,6579,10673,12135,43713,292
5350376.12,660,5467,9614,1602,2733,848,4053,5561,3959,1697,471,1697,566,14138,18944,41847,0
5350376.13,0,5541,3222,387,1031,258,1546,5284,1804,387,0,1031,515,902,7474,78866,0
5350376.14,530,3841,4503,530,1192,530,530,5166,2517,397,0,530,0,2252,4106,80000,0
5350376.15,271,3799,6513,1221,1628,0,814,5020,1493,950,407,1493,0,3392,8955,73406,0
5350376.16,1173,10300,11734,1565,4042,261,3259,3911,7301,2999,913,2086,1956,4433,31682,28683,0
5350377.01,276,5191,6516,994,1657,221,1988,7013,4859,1877,221,387,994,4914,12148,61182,0
5350377.02,0,6134,11806,1736,2546,347,1852,7523,4051,1736,0,0,0,2083,9491,64005,0
5350377.03,0,6429,11250,1250,1786,1786,1250,9107,6250,714,0,0,0,2500,7500,64286,0
5350377.04,336,4458,2439,757,505,0,421,2103,5803,1346,421,841,0,1514,10177,75442,0
5350377.06,275,2755,964,413,0,0,275,0,275,413,0,1102,0,0,2893,93802,0
5350377.07,0,3011,2366,0,860,323,860,1613,5376,2043,0,430,0,538,8710,79570,0
5350378.02,1231,4308,4308,769,615,923,923,9538,5385,1692,923,0,1385,4000,31077,40000,0
5350378.03,272,9918,11617,1766,2785,272,1698,4823,15285,5910,815,408,2038,1087,33084,29755,0
5350378.04,250,6339,5171,1084,1168,167,1168,4754,12677,3336,334,167,1168,5922,48040,23436,0
5350378.05,1923,8974,13974,2949,2179,256,2949,3462,23590,4487,2821,1026,769,2051,26154,22564,0
5350378.06,661,8836,5037,1239,1073,0,661,2890,13790,2973,578,165,1321,3220,47564,22213,0
5350378.07,584,4602,7451,1023,2118,438,2045,5332,8839,2630,877,730,1023,2045,24105,50694,0
5350378.08,158,4649,5674,630,1261,236,1418,5831,6147,2285,236,867,158,1103,26005,54531,0
5350378.11,599,7699,6758,1454,1454,0,1027,4106,12318,4705,1369,171,2823,1796,48760,18135,171
5350378.12,2027,10039,10907,3282,3958,0,3282,7336,20656,7432,1737,0,1931,3958,28861,20174,290
5350378.14,253,5323,5450,1014,1774,0,887,1901,6337,2028,0,253,507,4183,27757,52091,0
5350378.16,248,6954,4884,414,911,166,662,5215,12334,5629,1242,497,497,2815,56954,15811,0
5350378.17,884,11782,8689,1031,442,295,1031,4566,23859,3682,6186,0,4566,7069,31959,14138,884
5350378.18,0,5598,1737,386,579,0,772,2124,7143,1544,0,0,1351,3861,21042,63127,0
5350378.19,189,3406,2554,378,568,0,0,3595,3690,1325,0,0,378,1041,20624,69063,0
5350378.2,0,4706,2588,471,471,471,0,1882,706,0,0,706,0,1647,15765,74588,0
5350378.21,0,4981,3113,374,498,0,249,1743,5479,498,0,249,0,1121,11208,79328,0
5350378.22,296,3846,2367,592,296,296,296,3994,2219,888,0,296,0,296,8432,83580,0
5350378.23,0,5093,6335,745,1366,373,745,4596,1739,2360,0,248,0,1739,11677,72919,248
5350378.24,0,3299,3646,1302,1128,0,868,3559,3733,868,260,608,608,174,21354,66667,0
5350378.25,127,7707,1401,510,510,0,510,2293,5287,2166,510,0,510,955,69427,17452,0
5350378.26,0,5992,2479,620,413,0,620,1136,8471,2169,0,310,517,2376,65289,19112,0
5350378.27,345,7593,4055,518,1122,173,1122,4142,11648,2761,1381,431,1553,1035,54875,19758,0
5350378.28,559,6918,5521,908,908,0,629,4333,22362,6150,559,210,1398,1887,51572,12928,140
5350400.02,601,17354,39347,5584,11340,2491,7646,18471,6100,1031,0,258,859,2062,7818,25172,344
5350400.03,493,12644,23810,1970,5255,1806,7553,18227,5911,1478,0,2791,821,5090,9360,35632,0
5350400.04,0,12853,42159,7712,12853,1542,9769,16967,1542,2314,0,0,0,2571,3085,33419,0
5350400.06,669,18729,40301,6187,10535,669,4515,20067,4181,3679,0,334,0,2508,5686,22575,0
5350400.07,912,21277,52280,6991,12310,1672,11702,17325,2888,1672,0,0,1216,3647,2432,12006,304
5350400.08,1971,20072,38172,5914,10394,1434,8244,12545,3226,2509,0,358,0,2867,6631,19892,0
5350400.11,160,4153,1518,0,319,0,399,3275,4553,2236,479,240,719,3115,48642,38099,0
5350400.12,363,7625,15396,2251,5229,654,2760,17139,5955,1452,145,581,0,2614,7698,49964,0
5350400.13,300,5393,1573,0,150,0,225,1273,3296,1348,599,0,1124,2472,62697,24494,0
5350400.14,0,3598,1472,409,491,0,164,3434,7195,1063,245,654,981,2453,37858,47588,0
5350400.15,1402,17260,41640,6580,9817,1726,9924,14887,3020,1510,0,863,1294,4854,7659,24703,216
5350400.16,371,7236,7328,835,2226,278,1299,18924,3896,2505,464,1670,186,835,35250,31725,0
5350400.17,0,4666,1803,530,212,0,0,3606,6893,1485,848,0,318,636,49099,35207,0
5350400.18,607,5870,4656,810,405,0,0,3036,7085,2227,607,0,405,0,35223,50000,405
5350400.19,1041,11609,20354,4164,6299,781,4685,13951,4217,3071,781,677,885,3436,21395,38365,0
5350400.2,344,8362,4811,1604,1489,458,573,5613,6529,4811,1031,458,1145,3436,25544,55899,0
5350400.21,1018,5852,8906,1272,4071,0,763,8142,3817,2799,0,763,509,763,30280,54453,0
5350400.22,572,6861,3586,780,1455,208,1091,5353,4054,3326,1040,988,1663,4470,55665,19647,312
5350400.23,0,5845,5319,701,1169,234,468,5903,3039,2922,468,0,409,2981,58854,22560,0
5350401.04,0,3733,5599,1089,933,0,1089,9331,5599,1089,0,467,0,3577,12597,64230,0
5350401.05,423,3171,2960,846,1057,0,1480,2114,634,423,0,634,1057,3171,9302,79704,0
5350401.06,301,4418,11948,1908,3112,502,3313,8434,1807,402,201,0,0,4217,5321,67369,0
5350401.07,882,14232,35264,5038,10327,2141,7935,11965,2267,0,0,756,0,2897,4408,39924,504
5350401.08,614,8141,27343,4608,7220,2151,7220,8602,1536,768,0,0,307,2458,6605,51152,307
5350401.09,119,3576,4470,596,1311,238,894,5304,1013,596,119,954,179,1907,7986,77414,0
5350401.1,0,6403,7364,1387,2668,534,2348,7684,3415,213,0,1174,640,1921,8431,69691,0
5350401.11,219,5466,3426,656,948,0,510,4810,6050,2770,0,0,656,1749,37464,46647,0
5350401.13,234,2964,3276,234,468,0,0,3276,4134,780,0,0,0,2574,18643,70515,0
5350401.14,128,8515,14149,2817,4225,1344,3905,13444,2369,960,256,1472,384,2497,5954,60883,320
5350401.15,365,10949,26277,4380,5839,1460,6387,14234,4380,1825,0,0,547,3102,4197,41606,365
5350401.17,0,3244,1551,564,846,0,846,11283,2398,423,0,0,0,5219,22426,56700,0
5350401.18,325,4963,8462,1546,2360,163,2116,6184,4231,1790,244,1221,407,3173,7893,68023,0
5350401.19,290,3621,3331,941,1376,0,507,4345,4634,652,362,797,0,2100,7314,78856,0
5350401.2,0,4105,2509,0,342,0,684,2965,3193,1710,0,0,0,1482,23147,68073,0
5350401.21,0,1338,1338,0,0,0,0,1672,0,1003,0,1003,1338,502,18562,75251,0
5350401.22,182,3519,3701,546,1214,303,728,4308,850,728,0,121,1153,1942,10012,77852,0
5350401.23,0,3495,4301,0,1613,0,1344,12903,5108,1882,806,2151,538,2419,23656,50806,0
5350402.01,415,9751,21162,2282,4357,0,19917,8299,3320,4357,0,622,1037,8714,6017,34855,415
5350402.02,0,7009,11869,2804,3832,561,6262,8879,2056,654,0,935,187,32056,5140,35327,0
5350402.03,1695,10678,25932,4746,7288,1695,23898,13390,4746,1186,0,1186,678,15593,1525,15085,508
5350402.04,294,7926,17025,2446,4305,685,13112,9393,2055,2838,196,881,1174,11448,7143,39922,0
5350402.05,0,8101,15190,2025,6076,0,20253,12658,506,506,0,1013,2785,20759,4304,25823,0
5350402.06,409,10711,18643,3352,6214,1308,19215,11365,1881,4334,164,1145,164,17089,2371,27637,0
5350402.07,746,15174,29602,1493,8458,1244,11443,6965,2985,1493,498,0,0,19652,5224,25871,0
5350402.08,162,6785,8239,1454,4362,485,21729,5412,646,2181,0,565,2100,19790,7351,36107,0
5350402.09,1055,12797,31398,4090,7520,1451,17150,12929,1319,1715,0,1319,792,18206,3562,18602,0
5350402.1,820,9153,16667,2322,8607,1093,15164,14344,4235,3552,410,410,1093,7514,4098,42623,410
5350402.12,0,2929,3515,1088,2008,167,2594,4017,1757,1423,0,1004,167,11130,5272,73054,0
5350402.13,504,6344,7251,705,4431,302,20443,5539,1511,504,201,1410,1813,12588,11078,40886,302
5350403.01,264,4749,4947,1253,2111,528,2243,11214,2704,660,792,1253,726,4551,12665,61214,0
5350403.04,0,2403,1716,458,915,801,1602,3432,686,343,229,1831,0,2632,11327,75973,0
5350403.05,948,9716,18128,4265,5213,592,2725,7820,1540,1066,0,592,237,1303,6872,62441,0
5350403.07,0,3292,3042,542,1250,250,750,3792,2250,958,0,792,708,2375,9000,78542,0
5350403.09,0,3397,899,0,300,0,599,3197,999,899,0,0,0,899,9590,84316,0
5350403.1,357,4282,3033,803,981,0,714,5709,2855,1160,446,1070,1160,1873,14719,71365,178
5350403.11,94,3580,2402,1178,754,141,801,4522,2685,377,0,1130,1507,2685,18794,68912,0
5350403.12,211,4428,5588,949,1160,211,1529,10596,4586,1581,264,1740,0,2530,29942,48023,0
5350403.13,801,7692,18189,2404,4407,801,2724,10497,5929,1522,0,1042,1282,2885,25000,37260,0
5350403.14,0,5287,4140,599,898,0,998,4888,3342,1995,848,449,1297,2594,19751,64289,0
5350403.15,295,4049,3374,801,970,253,1982,5188,928,928,253,1392,127,4302,6537,78026,0
5350403.16,622,10572,17662,3980,6592,746,3234,10697,4602,1866,0,746,995,871,14801,48507,249
5350410.02,0,4795,4795,228,2968,457,22146,13356,3425,1941,228,1826,1027,5479,6849,41553,0
5350410.03,139,13808,8368,1743,7113,279,40795,6276,628,1743,0,3766,2650,13668,2510,18689,0
5350410.04,0,16860,7722,1673,5534,644,48005,4762,644,2703,0,6435,1544,8623,3089,10811,0
5350410.05,0,16587,12179,1122,6971,801,44952,8013,1282,240,0,3446,2804,13221,2965,12179,0
5350410.07,409,8595,6821,2319,3547,273,28104,15825,2865,819,273,3547,1774,5593,13097,25784,0
5350410.09,810,5263,6478,2935,3441,405,27227,10830,2328,1923,0,2126,304,11032,5162,35729,0
5350410.1,0,9482,8091,1264,4046,0,41593,6953,379,1138,0,2023,1896,13021,3666,16182,0
5350410.11,613,21569,9069,2941,9191,1348,50245,4902,1961,3309,0,6985,2451,13971,858,8211,0
5350410.12,153,7822,5752,767,3988,153,45399,7132,997,2837,0,3144,767,16871,2914,13650,153
5350410.13,0,18392,8907,941,5576,1303,48443,12455,724,2028,217,2896,2896,8327,5286,10427,145
5350410.14,166,8486,5824,416,2745,0,32779,19301,2496,2413,0,1165,749,8319,6656,23045,0
5350410.15,512,9974,7928,512,2302,512,16368,26598,9719,3581,512,0,1279,10742,10742,16880,512
5350411.01,190,7048,6952,2000,3524,190,14381,22952,3905,2190,0,476,190,6381,16667,28381,0
5350411.04,268,5188,6261,1431,2326,0,5993,63685,1878,5367,0,716,447,5546,6977,7066,0
5350411.07,1256,6735,12100,2968,3995,799,6050,69406,1256,1826,0,0,571,2968,3653,5251,228
5350411.08,1089,4793,7625,3050,5011,0,16340,35730,3486,3486,871,871,436,7190,12200,15033,654
5350411.09,474,6003,5608,1027,3397,0,30253,16351,3239,3318,553,1738,1817,9558,13665,15719,395
5350411.12,0,8945,7424,2415,3220,716,7782,47674,4472,6351,984,268,447,3220,17710,7156,0
5350411.15,240,5522,5762,1200,3121,480,7563,51140,2521,5882,600,360,600,7083,9004,15246,0
5350411.16,404,10492,11380,2260,4278,161,11542,43503,4197,5246,1291,1211,1049,9685,10654,12026,0
5350411.17,0,9213,4842,874,1950,269,23806,16342,1681,1479,202,2421,740,14862,8675,30128,0
5350411.18,404,7506,4180,1708,1933,0,20494,14831,2787,3146,809,719,1573,11865,12944,28270,0
5350411.19,293,12134,4748,996,3341,410,40563,7620,645,2462,0,2052,996,17526,4807,19637,117
5350411.21,0,5609,5609,580,2901,0,14507,18182,7544,7930,0,0,387,13153,22824,16634,0
5350411.22,186,7892,5664,1486,1950,279,8542,46518,3714,5664,557,0,186,6964,14206,14578,0
5350411.23,549,7253,7143,2637,3187,330,8352,51319,4835,5495,220,659,0,9011,9231,9231,0
5350411.24,0,5803,4318,1147,1552,202,3441,16802,4453,3374,2159,135,472,7152,49460,14642,0
5350411.25,293,6305,4839,1026,1026,0,5718,24780,3959,6891,733,293,1906,10850,19208,24633,0
5350411.26,186,8380,8659,1210,3352,186,8287,46927,3631,6611,2142,559,1117,6425,12570,14060,0
5350411.27,596,8343,6794,1907,2503,0,6794,60310,2861,5364,954,0,238,7867,8939,6079,0
5350411.28,0,10204,6511,1555,5637,0,44606,6025,1166,1263,389,2624,2041,11759,5151,21088,0
5350411.29,0,12500,7391,2099,3923,456,33850,7117,1369,821,639,3467,2555,16150,7026,22445,0
5350411.3,0,11462,4667,961,3775,343,33493,6589,1030,961,343,2471,1098,10638,6932,30679,206
5350412.01,560,5685,6805,1201,4644,480,4243,65252,881,5524,721,400,881,4083,9768,6325,160
5350412.02,931,9250,9250,2443,4130,175,6166,65910,2327,2269,116,291,175,3490,6981,5352,116
5350412.04,0,4378,2304,346,2189,230,3571,75230,1613,3571,0,230,0,1843,10599,5415,0
5350412.06,0,6125,7692,1425,2137,0,8974,71510,1140,3846,0,285,0,3134,4843,5556,0
5350412.08,386,5212,4247,1158,1158,0,2896,73938,772,1737,0,0,386,2510,10811,4633,0
5350412.1,254,5169,3305,1102,1102,0,2119,59746,2712,2712,508,339,339,6780,18814,5169,0
5350412.11,0,9800,7587,1791,1897,527,4742,61644,2107,5479,316,316,211,5690,7060,6955,0
5350412.12,877,7018,7268,1880,1128,0,12657,42231,3383,8271,0,501,1880,6266,8271,15789,0
5350412.13,488,3902,3659,976,1341,0,3293,83049,610,1220,366,0,244,1585,4756,2561,0
5350412.14,0,7623,5082,1794,2392,299,3587,83109,0,1644,0,0,0,1345,3438,4185,448
5350412.15,467,7383,8879,1963,3738,841,6168,78224,1215,2056,0,0,561,1682,3925,4112,0
5350412.18,132,8432,4809,1054,2372,0,4018,73847,264,659,395,264,0,2635,9420,4414,0
5350412.19,157,7592,6702,1257,2618,157,5916,64555,1728,4188,157,838,209,8691,7487,4241,0
5350412.2,174,6597,5382,1649,3385,174,6597,65538,1997,4514,868,0,955,6424,5642,5729,0
5350412.21,,,,,,,,,,,,,,,,,
5350412.22,0,6413,4994,1362,1532,0,4824,51476,1249,4938,1986,738,170,8229,12202,14075,170
5350412.24,896,5795,6691,1135,1553,358,6452,36081,4540,4600,1016,1314,478,11290,12963,21804,119
5350412.25,0,5082,4537,1452,1089,363,7623,39837,1452,2995,363,817,726,11343,12886,20054,544
5350412.26,160,6385,5347,1596,1836,0,7981,32482,4629,3591,2075,479,958,10455,16999,19792,239
5350413.01,962,9246,15446,2779,5184,1229,6948,53875,2084,4436,588,588,428,6414,10422,5986,107
5350413.02,352,5514,4693,1291,1916,117,5397,40203,3833,5749,1721,860,391,11107,17677,15213,0
5350420.03,770,9238,15550,3156,3156,1078,8622,11470,3772,2079,693,1309,1078,18091,7159,32179,0
5350420.05,0,4672,4153,519,1882,260,3764,5905,3180,1038,324,1233,649,13498,5127,63725,0
5350420.06,0,4294,1813,573,1240,0,6107,5916,668,286,0,2576,0,11641,5630,64599,0
5350420.08,356,8551,20309,3919,5463,1188,11520,19240,2494,2613,0,356,238,20309,5819,20428,238
5350420.09,865,8757,16000,2919,5081,1189,18378,13081,4432,2270,324,1622,541,18054,4324,25514,216
5350420.1,0,5387,2210,0,829,276,691,2624,0,552,0,829,691,7873,9254,76381,0
5350420.11,0,3877,4604,727,1373,162,6381,7351,969,162,0,1292,808,13409,12116,57108,162
5350420.13,462,4067,7024,2403,2218,462,10998,6192,1941,1848,0,1664,739,20055,5823,49815,0
5350420.14,700,5252,7843,1190,1261,840,9244,8403,2731,3081,0,1681,350,18557,8263,43347,0
5350420.15,0,4677,4454,0,2895,0,4232,9800,0,668,0,3341,0,19599,8909,54566,0
5350421.01,587,7483,11739,1394,5796,147,14307,26266,954,147,0,807,587,20103,5503,21643,147
5350421.04,797,13147,29482,6906,10226,1328,21248,9695,1859,3453,0,0,266,17530,3851,12882,0
5350421.05,0,11874,18312,4006,8870,1574,30329,17167,2003,1717,0,429,1001,16881,5866,10300,0
5350421.06,0,4532,12135,1462,6140,1023,17836,18860,1608,1316,0,1462,585,21199,5556,22807,292
5350421.07,0,6086,15632,955,7041,955,16587,25179,955,2745,0,239,477,19570,3103,15274,0
5350422.02,840,12512,21289,4388,7843,560,12792,11578,3735,2801,467,1120,280,21102,5976,21475,0
5350422.03,142,4745,5170,1062,1558,212,6232,6516,1558,1133,567,1912,1487,11331,11544,57720,0
5350422.04,0,1355,2094,246,2094,369,3571,4433,246,246,616,985,739,8621,10222,70936,0
5350422.05,141,2891,3244,423,705,141,4443,2398,1340,564,0,987,776,9661,9944,69464,0
5350422.06,1830,15896,25337,3854,8285,2119,11464,14066,1349,2794,578,963,289,16089,5010,21291,0
5350423.01,960,15226,33471,4801,11385,2743,19204,20713,1097,2469,0,1372,412,11523,3978,10974,274
5350423.02,910,12874,19376,2341,5462,1235,17685,24122,1886,1625,0,1170,910,15475,5397,15020,0
5350424.04,624,5405,5405,832,1247,416,7069,7900,3534,624,416,0,0,12682,13721,52807,0
5350424.05,339,5819,8249,1073,3559,847,5311,12147,2655,1243,508,960,2203,15763,15085,41299,0
5350424.07,119,7202,7917,1964,2679,298,17738,13274,833,357,1190,1845,774,16429,6310,34405,0
5350424.08,541,9269,10690,1556,5413,406,22124,19824,1353,1556,203,1962,135,16035,5007,25237,0
5350424.09,1268,10423,17324,2394,4789,1127,9859,33380,845,1831,282,1549,704,14648,7465,13803,423
5350424.1,917,11154,18335,4660,7716,535,14820,37968,1757,3285,153,153,229,12452,5500,14286,229
5350424.11,620,12709,19219,3596,5270,1426,13267,25604,2976,2108,0,558,496,11159,6820,24799,0
5350424.13,679,10407,14706,1810,5656,1131,5204,8371,2262,1357,452,1584,1810,10407,11538,43891,0
5350424.14,265,7465,7427,1592,2349,720,12959,19856,1705,3221,531,1326,796,17810,11216,27927,0
5350424.15,409,6343,7161,1995,4194,665,10997,14118,1893,1279,102,1483,512,15908,9361,40358,256
5350424.16,626,5752,7517,1538,2278,513,11731,13554,2107,1310,456,2790,569,17597,10023,38895,0
5350430.03,2619,26576,45587,7759,10766,2619,6596,20369,1552,388,0,1455,291,1940,7759,9699,388
5350430.05,1778,18263,33105,4925,9234,1436,7729,16347,2462,2668,547,889,342,3215,18468,20520,342
5350430.06,374,12042,18100,2842,5086,524,7405,23934,5086,3291,299,524,1122,2618,22962,26328,224
5350430.07,1198,20027,33733,4724,8250,1331,5722,22821,2329,2661,266,1198,0,2994,11111,21357,0
5350430.08,666,16140,26955,5324,7488,1331,6739,20050,5740,2662,0,1664,166,3744,17637,24210,333
5350431.01,1038,23065,47566,5906,14685,1995,9896,18994,2394,1197,0,0,0,3272,3272,8380,479
5350431.02,1173,20485,34715,5551,12823,2737,11181,18608,1720,1016,0,1016,156,2267,5864,16888,156
5350440,1303,21289,41057,6010,13324,2172,11731,16944,2245,2752,0,1159,797,6300,4272,14555,145
5350441.02,2323,23693,50871,8362,15679,3020,10569,14983,2787,1742,0,465,1161,6852,1045,7549,348
5350441.03,1934,27279,49517,6423,14365,2762,12914,18785,2417,1796,0,276,483,5180,1865,7873,0
5350441.04,1872,21390,39483,7041,13369,2674,14349,25668,2050,1872,0,891,178,4813,3565,8734,0
5350442.02,2414,23507,48539,8005,13850,2287,13850,12961,2160,2922,0,508,0,8005,1525,6734,0
5350442.03,1326,23106,50568,8996,16951,2746,18466,20833,1420,2557,0,758,189,3504,2367,7008,189
5350442.04,1515,25895,52755,12534,14876,3168,14463,17769,1377,1653,275,0,551,4821,964,7989,0
5350442.05,1518,16632,35749,6832,9386,1932,17805,20773,3451,4072,0,552,276,6418,3796,17460,207
5350442.06,616,11991,16919,3412,5450,1185,10095,21564,2986,2844,664,2133,853,7867,7488,34171,190
5350450.02,4000,32364,58000,9818,13455,2182,12182,8364,1818,1636,0,364,364,1818,2545,8909,545
5350450.03,3386,23511,48715,8025,14671,2821,11223,16301,2508,2006,251,439,940,3511,3072,9843,313
5350450.05,1247,21779,39152,7564,14796,2328,15628,17290,4904,3658,499,582,1164,6234,4073,15046,333
5350450.06,1553,14304,28350,6796,9061,1553,8867,20971,3430,2524,453,388,583,4078,6926,31133,259
5350451.01,2570,33645,59346,8411,16589,2336,9579,8178,2103,0,0,701,701,3271,1402,5374,0
5350451.02,3676,28151,61450,9454,13761,2836,12290,12185,2941,525,0,210,735,1891,2416,5462,210
5350451.03,2509,24875,45233,8100,13405,1577,11398,16989,2294,3297,0,0,1075,4229,4158,11685,430
5350451.05,2711,22993,50542,9002,14642,3037,13883,14642,1735,1518,325,759,1085,6725,2711,6508,0
5350451.06,2190,21903,38746,7553,11782,2719,13293,20921,2190,2492,151,453,1435,7024,4381,14426,227
5350451.07,1016,19715,29980,4268,9146,1220,14533,21138,2642,5793,0,305,0,5589,4878,20427,0
5350452.01,5405,34499,53736,12401,17329,3657,11606,10175,2703,2067,636,0,954,477,2703,6041,0
5350452.02,4601,32720,52454,8896,14826,2658,9611,12577,2556,1636,307,0,204,2761,2352,8487,204
5350452.03,4022,28336,54570,9324,15631,3382,11883,12157,2011,2102,0,457,823,5302,2285,5484,0
5350452.05,1261,15231,17962,5462,6092,525,16597,21008,4832,3676,0,210,840,10609,9874,21218,0
5350452.06,1719,16649,19979,4082,5800,1289,13749,18797,4189,3974,752,322,1074,6982,8593,26960,0
5350452.07,1504,29135,53195,7425,12970,2632,13252,14474,1974,376,0,470,188,3195,1974,7143,752
5350455,3176,32565,56725,7161,18306,3362,13263,13948,1743,1308,498,311,187,2179,2802,5044,311
5350456.01,3204,30778,56407,10870,18535,1373,10755,15103,1030,343,0,343,572,2860,686,5263,0
5350456.02,4255,28865,48582,9645,14681,3191,12411,12482,1844,2270,0,284,284,4397,3191,7021,0
5350456.03,3141,31784,57412,7161,19598,2261,11558,12940,1508,879,251,0,377,2010,879,2136,251
5350460.01,897,12690,22138,3517,9862,1310,14000,46690,1586,1862,138,138,138,6069,5379,5586,0
5350460.02,1597,19303,44267,6096,19594,2177,11466,28302,2322,1887,0,0,1161,3483,2322,6967,0
5350461.01,1136,14598,20892,3497,7605,1573,9790,54720,1136,3147,0,612,874,3934,6031,3059,0
5350461.02,1257,23633,40792,5594,12948,2011,12005,35638,1760,2640,0,314,629,2074,1383,3143,126
5350470,6295,34712,63129,8993,18525,3237,12590,9173,1259,1978,0,0,0,899,1079,1259,540
5350471,4566,40487,57991,9285,15830,2283,6393,9132,2131,1218,0,0,0,1522,457,2892,0
5350472,4509,35464,52961,10633,14805,2221,10363,10565,2490,1817,0,202,135,3297,3365,7806,269
5350473.01,4173,35008,61437,11128,12674,3632,8655,14219,1546,850,155,0,232,927,1777,3478,0
5350473.02,4793,37482,54363,12661,18813,1502,9084,10801,3433,1001,0,0,572,1359,2003,3004,143
5350473.03,6386,41984,55842,10462,16576,2038,8696,9783,1630,1087,0,0,272,1087,951,2310,272
5350474,3533,38678,59058,9783,16214,3895,10960,11685,1268,996,0,0,362,1178,906,1812,362
5350475,4351,35267,59008,8931,16565,1527,8397,10229,2061,916,0,0,992,1221,1985,3359,0
5350476.01,76923,17308,26923,7692,7692,0,3846,3846,0,0,0,0,0,0,0,3846,0
5350476.02,5122,37805,58780,8293,14390,2439,11463,6341,1463,1220,0,0,0,732,488,1463,0
5350480.01,4253,31227,42527,9356,14216,3038,12029,23937,1944,2552,243,0,243,851,2673,3281,0
5350480.02,2032,23233,25635,5358,7483,1155,11178,32194,2171,5543,277,323,785,5266,8083,7067,0
5350481.01,2658,19846,29179,5139,9392,1477,9687,33550,2481,4135,236,768,532,4903,8210,8742,0
5350481.02,5060,30602,43976,9639,14096,3253,7590,24337,2530,3012,0,0,241,1566,2289,4217,241
5350482,1551,21578,36143,5866,13823,2090,11194,28523,3034,3034,0,135,270,2967,3169,8631,202
5350483.01,4974,36580,58549,10259,15751,3005,8601,17409,1554,1347,311,0,933,1244,518,1969,0
5350483.02,2198,21193,47567,10204,18053,1727,14286,21821,1727,1727,0,0,0,3140,1570,2198,314
5350484.02,4572,31583,56562,9314,18628,2964,9568,14903,2371,677,0,0,254,1355,1524,4234,254
5350484.03,1006,20126,57610,6918,14843,2893,6289,15849,2138,1258,0,0,0,503,755,3648,0
5350484.04,1136,37500,53409,12500,16477,6250,9659,5114,1136,0,0,0,0,0,0,1705,0
5350485.01,4077,36504,54231,8400,15936,3150,8030,15503,2718,2162,247,0,371,2224,5065,3335,124
5350485.02,5175,39359,58090,6924,15233,3644,8746,12536,1603,1822,219,0,292,656,510,2259,219
5350500.01,2388,13881,28955,5224,5970,2388,20597,22537,5224,3284,2090,1343,0,3731,5970,10000,0
5350500.02,3696,24230,32444,7084,10267,1643,17146,17351,4107,3901,308,1129,1129,3491,5544,8111,0
5350501.01,1930,19035,40439,5965,14737,2544,17281,20614,3684,1930,439,175,614,3684,7018,8509,263
5350501.02,1101,16948,38518,6970,13793,2128,17461,16654,3008,3081,440,954,440,3595,9244,12472,514
5350502.01,2730,18107,29208,5823,10009,1092,18198,16379,7643,5460,728,819,819,3367,6824,16106,182
5350502.02,2146,22961,35622,5365,11588,644,20601,17811,5365,4721,1502,644,0,1717,5365,10515,644
5350503,2994,24850,29641,7186,10279,898,13772,20459,5788,5689,200,898,399,5888,9780,8383,0
