S_CTUID,1871,1872,1930,1931,1932,1933,1937,1938,1939,1940,1941,1942
5350160,61.9,5.5,1485,680,190,530,1490,120,335,480,205,350
5350161,60.8,7.9,3465,1390,280,1600,3470,225,695,1035,840,680
5350162,61,5.8,2375,975,140,1100,2375,155,480,860,495,385
5350163,62.7,5.5,2180,835,75,1025,2180,180,525,760,430,290
5350164,63,7.5,2950,1130,100,1355,2955,210,690,1185,505,365
5350165,69.4,6.4,2225,755,65,1060,2225,190,595,950,285,200
5350166,65.5,7.9,1910,950,85,705,1905,260,555,690,255,150
5350167.01,60.2,5.7,965,245,20,590,965,75,375,325,110,85
5350167.02,69.8,7.1,3315,880,125,1960,3315,215,860,1265,520,450
5350168,58.2,7.9,2605,885,95,1450,2610,210,620,925,460,395
5350169.01,62.2,8.6,1745,665,50,900,1745,165,340,610,290,340
5350169.02,63.6,9.2,3840,1415,115,2075,3840,265,805,1455,710,605
5350170,57.4,7.4,1635,790,140,620,1635,175,385,525,235,315
5350171,50.1,10.3,1500,730,95,600,1500,130,280,495,270,325
5350172,56.5,12.7,1155,505,80,505,1155,125,265,290,190,290
5350173,52.2,12.6,1545,580,90,825,1540,90,320,365,295,475
5350174,57.2,10.7,3080,1575,160,1240,3075,240,640,890,465,845
5350175.01,53,11.6,2530,1250,120,1035,2525,230,660,760,295,585
5350175.02,52.8,11.8,3165,1440,185,1380,3165,280,755,815,520,800
5350176,64,7.6,2110,1325,125,560,2110,205,600,650,290,360
5350180,60.8,8.9,3015,940,75,1850,3020,205,530,1040,700,540
5350181.01,67.4,6.8,2285,950,50,1115,2285,195,475,865,525,225
5350181.02,63.2,6.4,1815,735,70,825,1810,175,425,555,390,270
5350182,65.1,6.2,2595,1090,155,1045,2595,245,700,900,475,280
5350183.01,61,5.6,1290,655,55,430,1290,140,445,405,175,115
5350183.02,65.2,7.4,1925,785,45,810,1925,230,510,710,305,170
5350184.01,58.1,8,2225,850,100,1085,2225,230,685,780,310,220
5350184.02,59.8,6.2,1775,790,80,785,1775,185,485,560,330,210
5350185.01,60.7,9.3,3355,1145,80,1670,3355,325,905,1185,560,390
5350185.02,61.6,6.5,2230,865,85,1040,2235,265,615,810,350,200
5350186,60.5,7.1,985,650,60,205,985,155,405,200,135,95
5350187,65.4,3.8,1785,1000,100,525,1785,215,570,590,230,170
5350188,64.4,4.9,965,580,55,250,965,130,295,275,145,125
5350189,53.6,11.7,2260,1060,105,990,2255,185,550,610,420,490
5350190.01,52.6,13.5,3650,1000,60,2395,3650,215,515,1265,915,745
5350190.02,53.7,10.4,1980,845,90,965,1980,185,445,535,395,425
5350191,61.9,7.9,2110,1130,110,750,2115,260,520,605,385,350
5350192,51,11.4,365,145,0,180,370,55,80,75,60,90
5350193,56.8,10.1,1360,860,70,355,1355,145,425,370,230,195
5350194.01,42.5,17.7,1535,645,80,620,1540,255,310,475,210,290
5350194.02,45.9,14.9,1805,760,50,780,1805,270,435,500,315,290
5350194.03,50.2,8.1,1085,255,30,700,1080,160,150,275,240,270
5350194.04,54.8,9.5,2600,1175,130,1090,2600,325,670,685,480,440
5350195.01,66.8,7.7,2060,1210,90,535,2060,335,665,595,305,170
5350195.02,65.3,7.3,1065,650,30,280,1065,210,325,300,165,65
5350196.01,60.5,5.5,820,485,40,195,820,135,295,245,95,45
5350196.02,63.1,6.6,2480,1480,130,580,2480,375,985,685,260,175
5350200.01,57.2,8.7,2555,1290,75,950,2555,305,460,775,430,580
5350200.02,71.1,7.4,645,355,20,220,650,70,165,175,80,160
5350201,63.1,6.2,2785,1655,135,800,2785,235,680,815,605,445
5350202,69.8,7,845,535,30,230,845,115,165,260,165,140
5350203,66.7,6.6,1595,960,85,425,1595,200,450,460,210,270
5350204,65.8,6,2275,1345,75,625,2275,270,585,635,390,405
5350205,x,x,x,x,x,x,x,x,x,x,x,x
5350206.01,65.5,5.4,2175,1280,70,720,2175,290,645,605,250,380
5350206.02,65.7,8.3,3115,1865,160,865,3120,480,775,845,420,590
5350207,63.4,7.8,1425,755,65,485,1425,185,350,435,205,255
5350208,54,12.7,1820,895,100,705,1820,210,335,435,290,555
5350209,57.5,6.4,1235,675,40,420,1240,245,300,365,180,145
5350210.01,68.3,5.9,1405,835,75,440,1410,170,340,425,260,215
5350210.02,73.3,4.9,6910,4790,300,1555,6910,440,1770,2345,1255,1095
5350211,60.6,6.2,3160,2135,175,655,3160,650,930,815,335,425
5350212,64.5,6,2885,1955,180,630,2885,560,885,680,295,470
5350213.01,60,6.5,1265,770,65,365,1265,215,310,360,240,140
5350213.02,72.7,5.8,3625,1990,130,1355,3625,455,985,1025,655,500
5350214,69.9,5.7,2900,1620,130,1005,2900,365,650,915,625,345
5350215,65.7,4.1,3425,2145,100,1000,3425,500,950,950,635,400
5350216,65.2,5.3,2535,1645,105,640,2535,295,735,820,485,200
5350217,60.5,11.9,2720,1505,120,900,2725,305,595,810,505,510
5350218,63.3,4.7,1175,650,55,395,1180,170,230,455,270,55
5350219,58.9,6.5,1895,1145,60,570,1895,205,530,560,350,245
5350220,62.8,5.7,2065,1360,115,455,2065,340,595,540,280,315
5350221.01,51.9,6.5,2600,1665,160,630,2600,525,755,460,385,480
5350221.02,65.9,7,2515,1400,165,805,2520,455,690,555,315,505
5350222.01,63,8.9,3250,1970,155,990,3250,470,975,725,540,540
5350222.02,57.3,7.7,2075,1290,125,535,2080,335,630,490,280,345
5350223.01,61.8,6.5,685,460,40,155,680,105,195,175,115,90
5350223.02,62,7.3,985,640,45,255,985,155,290,210,195,130
5350224,62.3,3.3,755,590,40,110,755,110,215,205,145,75
5350225.01,56,6.2,2240,1115,105,910,2245,290,595,610,425,330
5350225.02,63.5,8.8,5030,1920,180,2635,5030,305,1305,1285,1190,940
5350226,57.5,8,1250,740,25,435,1250,145,295,400,300,100
5350227,65.6,6.6,845,485,35,250,840,120,180,320,135,80
5350228,53.7,6.8,1185,670,50,390,1185,110,290,455,210,120
5350229,64.2,9.4,455,315,10,110,455,40,95,215,85,20
5350230.01,60,4.3,1045,685,55,260,1045,90,325,305,225,100
5350230.02,60.1,6.8,3115,1880,175,950,3115,265,880,930,460,590
5350231,61.1,5.9,2935,1925,115,800,2935,455,795,835,510,340
5350232,56.5,6.3,1480,1155,70,215,1485,200,510,350,265,160
5350233,60.6,6.7,2565,1770,120,625,2565,275,835,660,465,330
5350234,59,7.7,1975,1400,90,445,1975,295,685,490,205,295
5350235.01,62,6,1410,1065,95,215,1410,300,510,260,115,225
5350235.02,57.8,7.5,2545,1670,155,640,2545,400,790,575,300,470
5350236.01,56.6,8.6,3035,1785,150,945,3035,475,870,615,410,665
5350236.02,58.2,7.8,2735,1845,125,645,2735,410,840,540,390,550
5350237.01,51.1,10.9,2625,1615,180,805,2625,295,890,620,355,465
5350237.02,55.4,10.1,1295,905,55,295,1295,165,460,345,145,175
5350237.03,51,8.3,2385,1490,115,660,2385,325,845,520,245,450
5350238.01,58.3,6.5,1560,1130,95,305,1565,210,450,410,245,240
5350238.02,58,8.2,2405,1430,105,750,2400,335,700,650,245,475
