S_CTUID,YCanCit100,NCanCit100,VM_SASN100,VM_CHIN100,VM_BLCK100,VM_FILI100,VM_LAMR100,VM_ARAB100,VM_SEAS100,VM_WASN100,VM_KORN100,VM_JAPA100
5350572.07,82372,17628,49674,1630,13370,3804,1957,543,761,978,0,0
5350572.1,82392,17742,49933,1208,14497,3356,1477,2550,3490,0,0,0
5350136.01,82396,17685,4727,4890,4401,4890,4156,1467,570,3993,815,652
5350420.05,82403,17597,5130,57013,3442,1104,260,1429,519,9156,3182,260
5350013.02,82411,17589,14543,17278,3294,1181,1554,2548,684,2486,2175,932
5350289,82419,17581,1904,1904,6719,14894,4591,448,2464,1008,0,224
5350237.01,82465,17535,17608,2861,32649,5062,4769,1027,660,1247,1027,147
5350321.02,82472,17402,3531,24716,1135,2522,757,504,0,19294,9584,378
5350292,82476,17524,3729,3803,22893,12826,14019,298,9620,1268,1268,149
5350516.43,82534,17466,23402,18721,3653,3311,2169,7991,1484,799,2854,1826
5350007.02,82571,17320,11002,4139,10566,8497,3486,436,4139,980,327,327
5350221.02,82595,17405,10412,3918,5670,7010,2784,619,1649,2887,3711,619
5350311.02,82612,17388,11419,2768,15744,12370,7699,952,5450,1384,433,173
5350273.02,82676,17204,6093,28554,2031,1075,358,956,358,6810,6571,717
5350420.14,82703,17297,7779,31395,1822,2523,2453,2803,1612,13174,6447,350
5350518,82733,17019,19030,10448,7960,7836,3358,2488,871,498,1368,249
5350012.04,82741,17259,14619,12589,3858,1117,2234,2234,609,1117,508,1117
5350401.21,82776,17224,17559,68729,1171,3344,1003,0,1003,0,502,0
5350217,82777,17223,3076,791,5009,1933,3515,351,615,2109,703,0
5350378.19,82781,17124,19868,57332,4825,8515,284,473,1514,568,0,284
5350403.07,82792,17250,9045,74156,1125,1709,125,1125,1000,1125,250,292
5350422.02,82820,17180,4949,13632,3641,4482,1494,2054,934,13632,1587,560
5350175.01,82822,17178,4485,1993,37209,4319,8056,415,4983,332,581,249
5350410.12,82822,17101,1994,5905,1227,2147,1764,537,307,6672,4294,0
5350400.14,82829,17171,37449,43336,8340,2289,164,654,164,1554,164,164
5350576.16,82831,17092,55960,2632,10991,3328,2786,310,1161,1161,0,232
5350370.01,82854,17146,32803,12064,10010,12885,1283,6366,667,3901,103,462
5350378.2,82864,16901,15493,70892,1878,3052,0,704,1174,469,0,0
5350170,82866,17282,2954,1477,7976,17282,5613,295,1034,0,739,591
5350376.01,82934,17066,12375,47106,12176,4291,399,599,599,2395,0,200
5350401.22,82939,17122,9957,72313,1396,2064,486,425,789,850,1396,121
5350324.02,82944,16975,7080,48592,5712,2333,1529,483,644,4505,4827,241
5350102.02,82947,17053,3132,2668,7077,1044,4408,1508,348,1508,1276,464
5350401.08,82949,17051,5991,49002,0,461,0,307,307,922,768,0
5350576.22,82973,16959,58649,1824,10135,3649,3649,270,1081,1554,0,0
5350248.03,83077,16923,32692,385,28077,7885,8269,0,2115,769,0,0
5350315.03,83084,16916,30308,705,19119,4229,8458,529,3524,881,617,0
5350247.01,83140,16918,56199,753,18134,2955,3244,985,695,1217,232,0
5350378.08,83150,16772,26320,44050,5516,7644,788,1261,867,236,158,473
5350612.26,83163,16964,7535,7535,4725,2810,3193,4215,639,1405,4087,255
5350528.26,83178,16822,26394,14498,10502,5019,3996,5948,2230,372,651,186
5350420.13,83179,16728,5638,38540,1386,2033,739,2311,832,12939,6100,832
5350373,83191,16702,14347,8994,7602,10278,3854,4283,321,2998,857,0
5350513.02,83254,16667,19762,4841,4762,5873,3175,3413,1270,952,238,0
5350316.06,83265,16735,8779,3292,37723,9602,3841,274,14540,823,0,274
5350314.02,83283,16819,32016,2026,19250,5572,5066,507,8511,709,203,203
5350004,83307,16693,8668,2206,9771,5989,1261,867,2994,1024,473,236
5350576.17,83309,16691,57724,1330,14191,1848,2365,591,591,591,0,0
5350378.23,83333,16791,11304,66087,2360,4472,248,745,1863,248,0,248
5350516.37,83333,16750,23096,16318,5690,3849,1423,7448,2594,251,2259,167
5350576.66,83333,16591,68764,1592,12282,455,379,1440,1744,2654,0,0
5350160,83361,16639,1176,672,9412,5378,9748,0,1513,0,0,0
5350576.6,83363,16697,74043,718,10048,1495,1017,1495,778,2691,120,0
5350375.01,83401,16517,10831,27199,10993,4072,733,1710,407,3583,814,0
5350411.24,83468,16599,49022,4450,4585,2090,2630,809,5799,3237,405,0
5350249.03,83480,16608,40913,615,25373,5092,4829,790,1756,351,263,0
5350310.02,83499,16501,3682,4378,4478,14527,3881,498,1493,1891,995,0
5350003,83516,16484,7692,2198,6593,0,0,4396,3297,0,0,0
5350420.11,83522,16478,12197,51292,565,1292,242,1696,323,9612,2262,485
5350341.02,83557,16322,27162,9013,7308,7308,974,853,487,1218,0,0
