S_CTUID,690,743,746,857,860,867,870
5350172,15.9,42304,27861,25.6,23.3,20.4,19.3
5350173,20.7,42923,19418,30.1,27.6,26.6,25.4
5350174,18.8,49257,28928,23.2,20.5,18.3,16.9
5350175.01,21.3,41792,19802,31.6,29.2,27,26.2
5350175.02,23.4,35872,21536,36.3,32,30.6,28.5
5350176,11.2,68571,38784,15,13.7,12.5,12.8
5350180,15.4,44911,25536,29.4,27.3,24.3,24
5350181.01,8.3,73318,40533,9.9,10,10,11.1
5350181.02,13,55104,22624,21.6,18.1,17.8,16.4
5350182,8,79639,40730,9.2,9.1,7.7,8.4
5350183.01,9.6,77184,38560,11.2,11.1,8.3,9.3
5350183.02,8.3,82739,37803,9.7,9.6,8.5,9.4
5350184.01,13.3,48512,24213,22.7,18.8,18.5,16.9
5350184.02,11.2,56128,31136,17.8,16.6,15.4,15.6
5350185.01,12.4,44870,30496,24.7,23.5,20.3,20.6
5350185.02,10.6,51488,35014,19.4,19,15.9,16.9
5350186,2.3,111360,44928,8.3,8.7,6,6.9
5350187,8.6,75861,36608,10.3,10.6,7.8,9.2
5350188,9.8,80597,34752,11,9.9,10.5,10.7
5350189,14.4,54295,34637,21.7,20.3,18.9,18.2
5350190.01,20.2,41941,29376,35.4,33.4,29.4,29
5350190.02,18.2,41882,24256,31.2,29.4,27.7,27.3
5350191,10.8,61466,32448,15,15.3,13.1,13.9
5350192,18.7,37205,22720,25,19.6,23.3,20.5
5350193,8.3,81600,34816,20.1,18.8,18.1,17.6
5350194.01,33.9,41008,27456,57.2,52.9,47,44
5350194.02,23.4,44992,39552,47.2,43.1,37.4,34.8
5350194.03,29.6,33957,19584,42,34.6,31.9,27.9
5350194.04,15.8,49774,39744,35.6,31,28.6,25.6
5350195.01,3.1,102656,36864,7.4,7.7,6.4,7
5350195.02,3.9,100608,48341,5.8,5.7,4.1,4.3
5350196.01,3.5,104896,47104,5.3,5.8,5.1,5.8
5350196.02,3,105574,42475,6.8,7.8,6.4,7.7
5350200.01,12.7,45914,35584,27.5,27.4,23.4,24.2
5350200.02,10.2,39360,30630,23.1,23.8,20,20.5
5350201,9.5,53333,25301,22,17.3,19.3,16.9
5350202,7.3,83072,37184,8.5,8.3,7,7.8
5350203,9.6,62528,35840,13.2,12.8,12.2,12.8
5350204,10.1,52452,27776,17.7,16.2,16.1,15.9
5350205,F,F,F,F,F,F,F
5350206.01,10.3,56352,36224,15.2,14.2,12.7,13
5350206.02,9.6,51797,34475,19.4,19.8,16.8,18.3
5350207,11,51264,34133,19.8,20.9,18.8,21.4
5350208,18.2,36646,20224,35.7,31.5,29.4,27.4
5350209,16.2,43981,19536,24,17.8,21,17
5350210.01,7.1,92723,43584,7.9,7.8,5.4,5.6
5350210.02,4.5,62976,51569,15.2,15.6,13,13.7
5350211,12.1,71385,34406,7.8,7.9,6.5,7.2
5350212,10,77984,36928,8.6,8,7.7,7.8
5350213.01,8.9,85248,39339,6.8,6.9,5.5,6.3
5350213.02,5.9,64028,50637,13.9,12.8,11.2,11.2
5350214,7.3,70059,48939,9.5,9,7.6,8
5350215,9,75748,35520,8.7,7.6,7.4,7.3
5350216,5.5,99174,44736,7,7.8,5.9,7.1
5350217,14.2,43236,31680,28.1,26.5,22,21.8
5350218,4.1,121984,56576,3.8,3.5,3.6,3.8
5350219,7.1,92843,38240,5.3,5.3,4.5,5.3
5350220,9.5,72192,37056,9.6,9.5,7.5,8.1
5350221.01,10,76782,44501,7.5,7.8,5.7,6.6
5350221.02,11.8,54656,36704,20.3,18.7,17.4,16.9
