5350516.32,1119,6028
5350516.37,837,25556
5350516.38,1306,24119
5350516.39,860,6464
5350516.4,2038,7799
5350516.41,1395,20299
5350516.42,986,11404
5350516.43,342,17133
5350516.44,394,21569
5350516.46,1509,7692
5350516.47,1268,7063
5350516.48,152,22741
5350516.49,1103,23941
5350517,0,19643
5350518,995,57742
5350519,668,18548
5350520.01,1302,21581
5350520.02,423,23340
5350520.05,541,40476
5350520.07,1463,53769
5350520.08,1903,31020
5350520.09,2038,40798
5350520.1,932,35381
5350521.01,968,46882
5350521.02,298,8085
5350521.03,2256,18333
5350521.04,1302,29032
5350521.05,1392,49162
5350521.06,1526,74438
5350522,583,21185
5350523,243,55777
5350524.01,1715,20359
5350524.02,419,38141
5350525.01,1208,44196
5350525.02,1514,60165
5350526.01,997,54386
5350526.02,1006,65267
5350527.01,1331,48999
5350527.02,0,18873
5350527.03,816,37877
5350527.04,427,26128
5350527.05,995,19221
5350527.06,532,18952
5350527.07,815,40060
5350527.08,4674,9055
5350527.09,1136,19283
5350528.01,967,21264
5350528.02,1445,25858
5350528.1,2030,19919
5350528.11,1386,25151
5350528.12,1044,13226
5350528.13,2903,7527
5350528.15,635,17073
5350528.16,1442,18947
5350528.18,2416,19948
5350528.19,2334,15823
5350528.2,1726,17714
5350528.21,3092,41637
5350528.22,2217,24286
5350528.24,764,10265
5350528.25,1669,27163
5350528.26,2323,45863
5350528.31,1806,46173
5350528.32,1324,7306
5350528.33,853,8523
5350528.34,838,7278
5350528.35,1990,10169
5350528.36,2495,29820
5350528.37,2227,6998
5350528.39,1000,4592
5350528.4,2421,5015
5350528.41,1865,15725
5350528.42,1759,13077
5350528.43,1715,12881
5350528.44,2746,7087
5350528.45,2228,38418
5350528.46,420,13812
5350528.47,190,20000
5350528.48,1132,12598
5350528.49,977,7510
5350529.01,3745,32922
5350529.02,4218,40214
5350530.01,4336,54808
5350530.02,4553,38693
5350531.01,5036,40530
5350531.02,4374,25195
5350532.01,2561,22594
5350532.02,6716,35581
5350540.01,206,70656
5350540.02,276,58584
5350550.01,211,13569
5350550.02,1614,35163
5350560,3384,25522
5350561,2165,45514
5350562.02,2773,8941
5350562.03,2407,23511
5350562.04,2978,18056
5350562.05,2381,36444
5350562.06,481,12371
5350562.07,2844,15884
5350562.08,3153,9854
5350562.09,998,7634
5350562.11,2829,7500
5350562.12,1428,74818
5350562.13,4701,14474
5350562.14,2057,7727
5350562.15,4654,18981
5350563.01,3008,57285
5350563.02,1600,27619
5350564.01,4842,11644
5350564.02,5225,21649
5350570.01,4019,77820
5350570.02,704,4669
5350571.01,2675,58246
5350571.02,1135,20861
5350572.01,2000,36433
5350572.04,4839,29612
5350572.05,592,72198
5350572.07,652,20392
5350572.08,1925,22378
5350572.09,3568,12214
5350572.1,1745,12698
5350573.03,2979,23762
5350573.05,1882,18457
5350573.06,3872,5862
5350573.07,430,46966
5350573.09,2064,20359
5350573.1,2151,5357
5350573.11,4681,8171
5350574,1643,57061
5350575.01,2377,35075
5350575.02,739,61765
5350575.03,2908,30549
5350575.04,2537,19465
5350575.05,2958,14932
5350575.07,1836,11500
5350575.08,2342,17737
5350576.04,1680,4225
5350576.05,3666,18321
5350576.06,1591,12217
5350576.07,3552,11654
5350576.09,1224,8730
5350576.1,3078,9732
5350576.16,4334,14465
5350576.17,2365,9581
5350576.2,2701,13099
5350576.22,3784,10306
5350576.24,1006,4141
5350576.29,3050,9091
5350576.31,514,9871
5350576.32,3874,5179
5350576.33,2196,4969
5350576.34,2140,10811
5350576.4,3706,10955
5350576.41,3783,5419
5350576.42,3288,10896
5350576.43,3098,9735
5350576.44,2330,6122
5350576.45,1982,11765
5350576.46,2106,9963
5350576.47,3885,5294
5350576.49,3817,11551
5350576.5,3412,6231
5350576.52,3872,8814
5350576.53,2638,8676
5350576.54,3422,4762
5350576.55,4515,6780
5350576.56,3127,6825
5350576.57,3881,8057
5350576.58,3162,12802
5350576.59,3817,10299
5350576.6,2153,9186
5350576.61,4121,11350
5350576.62,3843,13694
5350576.63,2091,8364
5350576.64,3951,7198
5350576.65,4246,19492
5350576.66,2729,7420
5350576.67,2163,7471
5350576.68,3811,8085
5350576.69,3101,7955
5350576.7,3347,12402
5350576.71,1448,6975
5350576.72,1132,18375
5350585.02,1456,7467
5350585.03,838,17755
5350585.05,139,6167
5350585.07,499,8836
5350585.08,262,4641
5350585.09,270,9116
5350585.1,710,8333
5350586.01,1600,6703
5350586.02,766,15873
5350587.01,254,8794
5350587.02,0,12405
5350590,313,38642
5350591.01,284,6389
5350591.02,196,14409
5350592.01,221,39640
5350592.02,157,5660
5350593,643,6346
5350600.01,317,3951
5350600.02,1066,6888
5350601,0,4706
5350602,0,18750
5350603,978,70588
5350604,490,52703
5350605,0,31553
5350606,690,36038
5350607,507,12558
5350608,388,20000
5350609,356,8602
5350610.02,395,6891
5350610.03,0,46640
5350610.04,498,24911
5350611,399,4373
5350612.01,0,0
5350612.03,240,13784
5350612.05,867,21092
5350612.08,737,11834
5350612.1,0,0
5350612.11,344,4261
5350612.12,219,6863
5350612.13,257,6714
5350612.14,0,12371
5350612.15,500,11494
5350612.18,465,8955
5350612.19,488,10853
5350612.2,668,3008
5350612.21,672,10606
5350612.22,547,11005
5350612.23,328,6250
5350612.24,313,9979
5350612.25,554,5031
5350612.26,383,32961
5350612.27,0,11730
5350613.01,0,14618
5350613.03,1124,38154
5350613.04,0,48396
5350614.01,303,5702
5350614.02,0,3833
5350615,386,22739
5350620.01,1359,12142
5350620.05,1704,1215
5350620.06,1105,9780
5350620.07,1687,3559
5350620.08,960,11441
5350620.09,557,12821
5350620.1,1426,9174
5350620.11,1115,17493
5350620.12,1025,13360
5350620.13,433,16265
5350621,187,6549
5350622,249,21854
5350623,0,47337
5350624,0,21040
5350625,0,31250
5350626,171,7673
5350630,308,14884
5350631.02,506,3425
5350631.03,407,1493
5350631.04,283,2181
5350632,0,16265
5350633,444,20495
5350634.01,229,3741
5350634.02,269,12681
5350635,165,34068
5350636,669,19469
5350637,299,7830
5350638,0,23529
5350639,218,11111
5350800.01,2280,21942
5350800.02,1237,22753
5350801.01,2276,10507
5350801.02,429,5750
5350802.01,932,5200
5350802.02,806,6522
