S_CTUID,Membership
5350430.03,5
5350430.05,3
5350430.06,3
5350430.07,5
5350430.08,3
5350431.01,5
5350431.02,5
5350440.0,5
5350441.02,5
5350441.03,5
5350441.04,5
5350442.02,5
5350442.03,5
5350442.04,5
5350442.05,5
5350442.06,3
5350450.02,5
5350450.03,5
5350450.05,5
5350450.06,3
5350451.01,5
5350451.02,5
5350451.03,5
5350451.05,5
5350451.06,5
5350451.07,3
5350452.01,5
5350452.02,5
5350452.03,5
5350452.05,3
5350452.06,3
5350452.07,5
5350455.0,5
5350456.01,5
5350456.02,5
5350456.03,5
5350460.01,3
5350460.02,5
5350461.01,3
5350461.02,5
5350470.0,5
5350471.0,5
5350472.0,5
5350473.01,5
5350473.02,5
5350473.03,5
5350474.0,5
5350475.0,5
5350476.01,5
5350476.02,5
5350480.01,5
5350480.02,5
5350481.01,5
5350481.02,5
5350482.0,5
5350483.01,5
5350483.02,5
5350484.02,5
5350484.03,5
5350484.04,5
5350485.01,5
5350485.02,5
5350500.01,2
5350500.02,2
5350501.01,5
5350501.02,4
5350502.01,1
5350502.02,5
5350503.0,1
5350504.0,5
5350505.01,4
5350505.02,3
5350506.0,4
5350507.0,4
5350508.0,5
5350509.01,5
5350509.02,5
5350510.0,5
5350511.01,6
5350511.02,1
5350512.0,1
5350513.01,1
5350513.02,1
5350513.03,6
5350513.04,1
5350514.01,3
5350514.02,8
5350515.01,5
5350515.02,5
5350516.01,5
5350516.02,5
5350516.03,5
5350516.04,6
5350516.05,5
5350516.06,1
5350516.08,1
5350516.09,1
5350516.11,3
5350516.16,5
5350516.17,1
5350516.18,5
5350516.2,3
5350516.21,3
5350516.22,3
5350516.23,3
5350516.24,3
5350516.25,1
5350516.26,1
5350516.28,3
5350516.29,3
5350516.3,3
5350516.31,3
5350516.32,3
5350516.37,6
5350516.38,3
5350516.39,3
5350516.4,3
5350516.41,3
5350516.42,3
5350516.43,3
5350516.44,3
5350516.46,3
5350516.47,3
5350516.48,3
5350516.49,3
5350517.0,3
5350518.0,1
5350519.0,1
5350520.01,1
5350520.02,6
5350520.05,1
5350520.07,6
5350520.08,1
5350520.09,6
5350520.1,6
5350521.01,6
5350521.02,1
5350521.03,1
5350521.04,1
5350521.05,1
5350521.06,6
5350522.0,1
5350523.0,1
5350524.01,1
5350524.02,1
5350525.01,1
5350525.02,1
5350526.01,1
5350526.02,1
5350527.01,6
5350527.02,1
5350527.03,6
5350527.04,5
5350527.05,1
5350527.06,1
5350527.07,1
5350527.08,1
5350527.09,1
5350528.01,3
5350528.02,3
5350528.1,8
5350528.11,6
5350528.12,3
5350528.13,3
5350528.15,3
5350528.16,8
5350528.18,3
5350528.19,3
5350528.2,8
5350528.21,8
5350528.22,8
5350528.24,8
5350528.25,6
5350528.26,1
5350528.31,8
5350528.32,3
5350528.33,3
5350528.34,3
5350528.35,3
5350528.36,8
5350528.37,8
5350528.39,3
5350528.4,3
5350528.41,8
5350528.42,8
5350528.43,3
5350528.44,3
5350528.45,8
5350528.46,8
5350528.47,3
5350528.48,8
5350528.49,3
5350529.01,8
5350529.02,8
5350530.01,7
5350530.02,8
5350531.01,8
5350531.02,8
5350532.01,8
5350532.02,8
5350540.01,2
5350540.02,2
5350550.01,5
5350550.02,1
5350560.0,1
5350561.0,1
5350562.02,1
5350562.03,1
5350562.04,1
5350562.05,1
5350562.06,1
5350562.07,1
5350562.08,5
5350562.09,1
5350562.11,5
5350562.12,7
5350562.13,1
5350562.14,1
5350562.15,8
5350563.01,7
5350563.02,1
5350564.01,1
5350564.02,8
5350570.01,7
5350570.02,5
