S_CTUID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
5350038,3772,4029,4768,5298,25960,47285,16424,2.2,33381,350213,15139,42056,67742,29032,6452,85.8,72.7,14.2,38997,18864,31.9,38.7,77496,14627,2113,36620,3239,1690,1831,704,2676,704,704,1549,282,46901,34451,65854,0,49544,50456,15403,28910,12085,21801,11137,3318,47281,8038,58.8,7,15072,25797,55072,56977,34593,8721,2254,11549,25070,5915,9014,1549,10282,13239,3380,3944,423,1127,704,2817,3099,43380,423
5350039,4192,4678,7995,9427,22434,43675,16229,2.4,33649,334538,20935,49558,49315,31507,17808,78.6,69.8,21.4,37589,17780,36.3,33.6,69602,17612,3981,38963,12183,2774,3136,965,5308,1206,362,724,1206,27262,27859,72141,0,60472,39528,28842,25684,13474,16000,7789,842,36421,9053,48,10,16216,32432,48048,48649,39039,11712,1327,13631,14113,4222,4222,1327,4704,6152,7600,3378,1327,844,3981,2413,4463,48010,0
5350040,4568,4904,7659,6455,21882,51313,12801,2.5,46879,199478,14747,45604,64444,31111,4444,91.3,77.7,8.7,61952,26048,18.5,22.7,72717,14631,1760,35864,2090,660,550,220,1100,220,440,440,0,55006,58689,41026,0,59026,40974,18276,24138,12414,23621,11034,1552,48276,9310,60,6.8,25472,30660,39387,46934,41274,11792,1540,11221,26293,7371,8251,4070,11441,18592,1870,1430,220,330,0,1870,1430,40594,330
5350041,3453,3459,8394,5355,21997,51230,13169,2.4,46254,205986,12689,46324,60000,33333,3333,92,78.2,8,67776,36480,14.9,17.7,75802,13703,2190,24234,584,730,1314,438,1606,292,438,1022,438,66131,55705,44295,0,65541,34122,11842,17105,11623,30921,14912,3947,59519,11379,67.9,6.5,24672,30971,39108,55526,36579,7895,583,14577,29155,6122,11224,2478,10641,30321,1458,2915,0,437,437,2915,2187,28571,292
5350042,4570,4532,7330,5689,22210,49562,15317,2.3,45798,213564,9932,42623,63158,28947,2632,91.7,78.6,8.2,61792,32427,12.1,14.6,78652,9663,1796,8193,2132,673,1347,337,337,337,224,337,337,83053,44501,55243,0,65641,34615,8518,18228,16865,31346,13969,2385,60988,12266,67.1,5.3,23377,33983,37446,47619,43074,9307,2806,17059,36364,7744,12121,3479,13805,37149,1796,2806,0,561,786,2020,2020,10325,561
5350043,3965,3907,7449,5429,17929,53788,15404,2.2,49155,183668,14365,43452,74074,22222,7407,92.8,82.3,7.1,65946,39040,13,15.1,80289,7490,1183,10512,2891,1445,1577,657,1183,394,526,263,920,77398,50581,49128,0,65294,34706,9091,19960,16008,31621,11858,2767,61462,9486,66.4,5.9,27344,30208,36198,55469,36979,7813,1053,20000,38816,9474,10658,4079,11711,30921,2763,3947,0,0,921,2632,1579,14737,921
5350044,8825,5033,5439,3796,31445,49575,9802,1.8,41026,263988,10248,33540,70213,23404,6383,94.9,87.3,5,59054,42650,14.4,16,82262,10179,3393,8095,4524,1667,2679,476,1310,714,1667,536,1012,72381,42375,57625,0,54208,45792,6608,15844,16481,38217,12898,1752,65657,11952,79.3,5.5,28881,38267,29332,45668,44856,9567,2381,18036,38333,9464,12262,2381,13571,25774,3155,3690,1310,952,1548,3095,3869,15060,714
5350045,3453,3637,6812,5652,17391,54928,15507,2.2,43770,219343,17094,42748,65625,28125,6250,90.7,81.4,9.4,56064,30635,14.4,15,76947,11682,2181,9190,1558,779,4050,0,3427,0,935,1246,0,74455,41137,58863,0,60870,39130,14602,18584,13717,31195,13938,1327,58315,8426,68,7.3,26197,38592,29859,48169,41127,10704,2644,15086,29393,6998,10420,2333,13841,38258,1244,5754,1400,622,311,933,2488,17574,0
5350046,3281,3380,9132,8371,16286,52359,13851,2.5,48415,184000,17065,52239,60000,33333,6667,86.3,78.1,13.8,55808,24640,20,20.1,73004,12337,2612,13353,6096,726,2903,435,3048,726,290,1016,290,67344,53731,46269,0,66667,33708,19465,26034,16545,22871,7299,973,46715,8029,61.5,8.5,29697,39091,26667,39275,46224,14502,3919,17126,29173,5080,8853,1887,9289,33382,3338,3338,435,581,2032,1887,2177,18433,290
5350047.02,3791,4189,8971,8179,15567,51319,16227,1.9,40758,241264,25064,45313,63889,25000,11111,80.5,74.9,19.5,32411,18906,38.8,35.1,71390,15385,12129,4043,11590,3100,3908,943,3908,0,674,270,6334,51078,20413,79328,0,46632,53109,18559,25109,15066,21834,10480,873,41394,15251,55.3,10.1,27829,42202,24771,36585,44512,18598,2429,14710,26046,8367,6208,1619,12416,13495,7018,6478,3104,540,2024,1484,9582,22267,0
5350047.03,703,700,8511,5674,12766,65248,7092,1.9,49194,185246,20635,40000,80000,20000,20000,95.7,86.1,4.8,72512,52672,10.6,12.8,78125,3750,10000,2500,4375,1875,1250,0,2500,0,0,0,0,78125,62162,39189,0,63514,36486,5983,19658,15385,31624,17949,1709,64103,11111,75.6,4.6,44304,27848,27848,45000,42500,11250,4375,19375,48125,11250,13750,3750,12500,21875,3750,2500,0,0,0,1875,10625,5625,0
5350047.04,2846,2759,11775,9139,12654,56239,10193,2.4,53602,151779,17273,55645,69565,21739,8696,93,83.4,6.9,68096,29888,12,14.3,71972,8651,1903,5190,2595,2768,2422,346,3633,0,0,0,519,79758,57322,42678,0,73222,26778,7046,16260,17615,33333,14092,3794,63686,13008,72.5,4.2,34932,34247,26370,42466,46918,10616,1733,22704,47487,9185,16984,4159,18371,24090,2253,2600,0,347,1040,2080,3640,12478,1213
5350048,3557,3516,11392,8439,14627,56259,9142,2.2,52261,159615,17193,55195,66667,25000,8333,93.4,82.9,6.4,60672,31712,16.3,16,74388,8921,3741,2302,3453,1727,1007,432,0,288,576,719,576,84604,42540,57143,0,62739,37261,6154,16484,15165,36484,12967,1978,64615,12747,70,5.3,30226,40395,25424,40113,51130,9040,1724,21264,48563,11351,14224,3448,26006,15517,3879,3161,431,1006,575,2155,3448,6609,862
5350049,3663,3641,9277,8458,13233,48158,20464,2.2,47943,175248,16970,52113,64000,32000,4000,95.1,81.4,4.9,68710,34731,11,11.4,76214,5178,1777,2908,2908,969,646,0,323,323,808,0,485,87884,43885,56115,0,66906,33094,3069,13811,14578,39642,15090,2558,71173,11990,75.1,4.4,37971,35072,22899,39595,51445,8671,3560,21197,58414,12945,21359,3722,26699,14563,2104,2589,0,1133,971,1942,2589,5502,0
5350050.01,8746,6824,9605,7033,14122,52144,17095,2,56662,127823,22104,45024,71875,25000,4688,95.1,78,5,72082,49778,10.1,8.4,77195,7925,4333,3820,2794,1653,2509,798,1140,570,1197,741,627,78677,69585,30530,0,69089,30911,2313,11563,16466,38853,17114,2960,65370,20741,66.5,6.6,52715,36765,5543,30769,58710,10633,1482,13968,39282,6385,12144,3136,23831,22292,2452,3820,570,684,513,2223,4960,9578,456
